,location,lat,lon,GHIs
98,USA_WA_Toledo-Winlock-Ed__Carlson__Mem__AP__727926_TMY3,46.48,-122.8,"[108047, 123715, 163406, 131032, 107931, 639566]"
99,USA_TN_Chattanooga__723240_TMY2,35.03,-85.2,"[178810, 185939, 180645, 173795, 134846, 859277]"
100,USA_CA_Fresno__Air__Terminal__723890_TMY,36.77,-119.72,"[235886, 257300, 258028, 234496, 191461, 1185909]"
101,USA_UT_Wendover__USAF__Auxiliary__Field__725810_TMY3,40.72,-114.03,"[194969, 227262, 229179, 213438, 165413, 1037564]"
102,USA_NJ_Trenton-Mercer__County__AP__724095_TMY3,40.28,-74.82,"[177328, 182628, 195823, 153013, 110513, 826902]"
103,USA_SC_Charleston__Intl__AP__722080_TMY3,32.9,-80.03,"[174596, 184771, 200019, 173204, 135540, 875801]"
104,USA_AK_McGrath__AP__702310_TMY,62.97,-155.62,"[138670, 151856, 125296, 102475, 68044, 593260]"
105,USA_NH_Keene-Dillant__Hopkins__AP__726165_TMY3,42.9,-72.27,"[161206, 213661, 204059, 169313, 109676, 863814]"
106,USA_CA_Riverside__Muni__AP__722869_TMY3,33.95,-117.45,"[212337, 237572, 235862, 220565, 147691, 1055764]"
107,USA_KS_Great__Bend__AWOS__724517_TMY3,38.35,-98.87,"[216053, 209719, 223736, 208025, 154886, 1020844]"
108,USA_TX_El__Paso__Intl__AP__722700_TMY3,31.77,-106.5,"[230243, 241177, 216986, 202558, 184428, 1082833]"
109,USA_IN_Evansville__Rgnl__AP__724320_TMY3,38.05,-87.53,"[176103, 195909, 202968, 177525, 138956, 898461]"
110,USA_NE_Sidney__Muni__AP__725610_TMY3,41.1,-102.98,"[202443, 224396, 222925, 189538, 145736, 989135]"
111,USA_AR_Stuttgart__AWOS__723416_TMY3,34.6,-91.57,"[170151, 184928, 193258, 211668, 148257, 916184]"
112,USA_TX_Del__Rio__722610_TMY,29.36,-100.78,"[169838, 187092, 211680, 181534, 149259, 903972]"
113,USA_TN_Nashville__723270_TMY2,36.12,-86.68,"[182681, 198089, 200549, 175396, 141442, 901805]"
114,USA_TX_Longview-Gregg__County__AP__722470_TMY3,32.29,-94.98,"[179758, 199286, 215902, 195615, 151107, 948998]"
115,USA_MS_Golden__Triangle__Rgnl__AWOS__723307_TMY3,33.45,-88.58,"[184989, 205250, 206784, 196380, 172033, 973020]"
116,USA_WA_Yakima__Air__Terminal-McAllister__Field__727810_TMY3,46.57,-120.55,"[180255, 208561, 224938, 190566, 140667, 953147]"
117,USA_MI_Oscoda-Wurtsmith__AFB__726395_TMY3,44.45,-83.4,"[160276, 182840, 201309, 155758, 109537, 817341]"
118,USA_MN_Albert__Lea__AWOS__726589_TMY3,43.68,-93.37,"[128350, 198000, 197764, 167331, 121682, 818201]"
119,USA_IA_Waterloo__725480_TMY2,42.55,-92.4,"[172070, 188220, 192094, 166119, 131002, 857435]"
120,USA_VA_Richmond__Intl__AP__724010_TMY3,37.52,-77.32,"[175206, 184747, 186965, 175840, 131509, 858790]"
121,USA_LA_Baton__Rouge-Ryan__AP__722317_TMY3,30.53,-91.15,"[166748, 178863, 180148, 175248, 136053, 844489]"
122,USA_IN_Terre__Haute-Hulman__Rgnl__AP__724373_TMY3,39.45,-87.3,"[180851, 115481, 181319, 175496, 136949, 795569]"
123,USA_WI_Minocqua-Woodruff-Lee__Field__726404_TMY3,45.93,-89.73,"[198684, 162230, 181419, 167440, 88086, 802384]"
124,USA_NY_Massena__AP__726223_TMY,44.93,-74.85,"[171077, 191226, 193542, 165957, 119481, 849244]"
125,USA_OK_Altus__AFB__723520_TMY3,34.65,-99.27,"[179117, 221339, 210210, 199902, 159721, 978751]"
126,USA_MO_Columbia__724450_TMY2,38.82,-92.22,"[177360, 201685, 199176, 184477, 140787, 909676]"
127,USA_NM_Holloman__AFB__747320_TMY3,32.85,-106.1,"[225741, 229651, 229581, 191166, 188291, 1072724]"
128,USA_NC_Asheville__723150_TMY2,35.43,-82.53,"[170732, 186992, 180311, 164980, 131006, 840433]"
129,USA_VA_Roanoke__724110_TMY2,37.32,-79.97,"[179573, 186873, 184464, 169345, 135311, 859912]"
130,USA_VA_Blacksburg-Virginia__Tech__AP__724113_TMY3,37.22,-80.42,"[169292, 184105, 172255, 177718, 118595, 830090]"
131,USA_LA_New__Orleans__Intl__AP__722310_TMY,30.05,-90.03,"[184813, 179030, 174044, 169286, 145397, 859144]"
132,USA_ME_Bangor__Intl__AP__726088_TMY,44.8,-68.8,"[163328, 175088, 184453, 159669, 114358, 803704]"
133,USA_WV_Charleston__724140_TMY2,38.37,-81.6,"[162366, 174872, 180304, 163041, 128425, 817159]"
134,USA_IL_Peoria__725320_TMY2,40.67,-89.68,"[176085, 195738, 198074, 170594, 134765, 883384]"
